id,query,源文件,,,,,,,,
21,EMSPlus的Reporting局流量报表的功能有哪些,emsplus/描述/产品描述(Reporting)/功能与业务/报表查询/流量报表.txt,叶子节点,"流量报表

支持分不同时间粒度（15min/小时/天/周/月），按网元、APN(Access Point Name, 接入点名称)、RAT(Radio Access
Technology, 无线接入技术)、PLMN(Public Land Mobile Network,
公共陆地移动网)、位置（包括区域、小区等）等多个维度进行分析，分析指标包括总流量、上行流量、下行流量、上行流速、下行流速、连接数、连接时长等。并可以通过趋势分析、TOP分析等手段，结合图形直观呈现。
",,,,,,
22,告警无法处理或无法恢复一般该怎么办,"umac/告警管理描述/7-告警处理介绍.txt
rcp/网元介绍/故障管理描述/相关概念/告警属性.txt",叶子节点,"处理告警时需要注意的事项如下：

  * 操作维护人员记录下问题和故障现象后，按照本文的相关处理建议和方法，按顺序进行处理。若无特殊说明，在每一个处理步骤完成后，如果故障排除（即告警恢复），则结束告警处理；如果故障没有排除，则进入下一步骤。

  * 如果告警无法处理或无法恢复，请及时联系中兴通讯。
-----------------------
处理告警时需要注意的事项如下：

  * 操作维护人员记录告警和故障现象后，根据相关处理建议和方法，按步骤进行处理。

  * 每处理完一个步骤，如果故障排除（即告警恢复），则结束告警处理；如果故障没有排除，则继续进入下一步骤。

  * 如果告警无法处理或无法恢复，及时联系中兴通讯。","8214回答中提到:
3. **联系技术支持**：如果仍无法消除告警，及时联系中兴通讯技术支持",,,,,
23,故障来源有哪些,"emsplus/故障管理/故障处理概述/故障说明.txt
emsplus/应急处理/故障处理记录表.txt",叶子节点,"故障来源

故障来源主要有下面三种：

  * 终端用户投诉

业务无法使用或使用异常，导致用户投诉。

  * 网管界面告警

系统设备或软件异常产生告警，上报到网管，在网管界面进行声光告警，具体处理步骤可参见告警处理中相应告警码内容。

  * 例行维护检查

维护工程师在日常例行维护中发现的设备或系统异常情况。
---------------------------------
故障来源：用户投诉、日志系统、例行维护中发现、其它来源。  
",两处均可以检索到,,,,,
24,对于ZXR10设备来说，告警级别分为哪八个级别？,"umac/ROSNG告警处理/2-告警条目说明(重用2).txt
",叶子节点,"表1 告警级别与说明告警级别| 重要程度| 说明  
---|---|---  
1| EMERGENCIES（严重告警）| 可能会导致系统与业务崩溃的告警，需要立即采取相应措施  
2| ALERTS（重大告警）| 系统出现重大故障，可能影响业务正常运行，需要立即采取相应措施  
3| CRITICAL（紧急告警）| 出现紧急情况，需要尽快处理  
4| ERRORS（错误告警）| 出现错误，在适当的时间进行处理  
5| WARNINGS（警告告警）| 系统提示一些需要警告的情况，以引起用户注意，需要进一步观察  
6| NOTIFICATIONS（通告信息）| 系统认为应该通告到各部分并记录的普通但很重要的事件信息  
7| INFORMATIONAL（报告信息）| 一般性通知信息  
8| DEBUGGING（调试信息）| 对管理员为调试系统或网络而输入命令的响应信息类别  ",,,,,,
25,uMAC支持在线配置和离线配置，区别在什么地方？,umac/配置管理描述/配置数据的配置方式.txt,叶子节点,"在线配置和离线配置

根据配置数据是否能即时生效，NF的数据配置方式分为：

  * 在线配置是指数据立即下发的配置方式。

此种方式的配置过程是EM(Element Management, 网元管理)和NF实时交互的过程，配置数据即时生效。

  * 离线配置是指数据在EM下发到NF暂不生效，EM下发同步命令后批量生效的配置方式。

通过此种方式配置的数据，需要将数据从NF-OAM数据库下发到NFS-OAM内存数据库后才能生效。",,,,,,
26,NFS是能够独立完成某个具体功能的软件实体，NFS包括那几类,umac/网元介绍/系统原理/系统架构.txt,叶子节点,"NF在软件实现上通过各种NFS组合来承载，NFS是能够独立完成某个具体功能的软件实体，NFS包括5类：

  * 信令业务类服务

  * 平台支撑&网管运维类服务

  * 接口管理&转发服务

  * 数据存储类服务

  * 业务资源管理类服务",,,,,,
27,Dump功能中输出的文件中包含的用户信息有哪些内容,umac/特性指导/Common特性/ZUF-76-12业务维护增强功能/ZUF-76-12-001 DUMP.txt,叶子节点,"内容如下，需要推理得出:
概述

DUMP用于从ZXUN uMAC导出用户信息。

SGSN的用户信息包括IMSI、MSISDN、IMEI、RAI、CELLID、PTMSI、接入类型等。

MME的用户信息包括IMSI、MSISDN、IMEI、TAI、CELLID、GUTI等。",,,,,,
28,AMF用户信令跟踪，可以跟踪哪些接口的信令,umac/操作与维护/信令跟踪/CN跟踪(OAM)/AMF用户信令跟踪.txt,叶子节点,图片中，图2 业务参数页面,,,,,,
29,大量用户无法注册时候应该怎么排查故障,umac/故障管理/应急处理/典型故障场景/大量用户无法注册/激活.txt,叶子节点,很清晰的步骤：故障排查1～5,,,,,,
30,如何实现对MU指定需要存储的字段数据,emsplus/特性指导/Logging和IPDR功能/特性配置/配置过程.txt,,很难！ 存疑,,,,,,
31,怎么调整通用查询结果中列的顺序,emsplus/特性指导/5GC日志查询功能/特性操作/专家模式/查询通用日志/设置查询结果列.txt,,很难！图片处理还有问题,,,,,,
32,当上报“用户License不足一级告警”且“告警类型”为“5G在线用户数不足”时，应如何进行确认？,umac/参考/业务告警处理/AMF告警/3306553345 用户License不足一级告警.txt,叶子节点,,,,,,,
33,EMSPlus可以接收哪些类型的数据？,找不到,,,,,,,,
34,ZXUN uMAC引入GSU N+M负荷分担有何作用,,,,,,,,,
35,EMSPlus出现告警后处理办法有哪些？,emsplus/特性指导/告警管理功能/特性操作/告警处理.txt,,,,,,,,
36,故障类别有哪些？,emsplus/documents/应急处理/topics/故障处理记录表.html ,,,,,,,,
37,AMF网元的采集方式有哪几种？,umac/参考/性能计数器参考（AMF）/计数器简介.txt,叶子节点,,,,,,,
38,如何查询MDS节点IP地址？,emsplus/故障管理/巡检指导/各节点虚拟机运行情况检查/MDS节点检查/检查虚拟机硬盘占用情况.txt,叶子节点,,,,,,,
39,uMAC支持适应哪些IaaS云平台,umac/特性指导/Common特性/ZUF-76-02 NFV/ZUF-76-02-004 支持多个IaaS云平台.txt,叶子节点,,,,,,,
40,服务化架构由一系列业务服务NFS和服务组件SC构成。uMAC的3G的媒体面报文处理由哪个SC负责,umac/网元介绍/系统原理/服务框架/服务组成.txt,叶子节点,1634213143019.html,,,,,,
41,开启全量日志上报需要开启license项是哪个？,umac/特性指导/Common特性/ZUF-76-12 业务维护增强功能/ZUF-76-12-003 CHR/特性描述.txt,叶子节点,,,,,,,
42,EMSPlus Logging产品架构中数据分发层的功能是什么？,emsplus/描述/产品描述（Logging）/产品结构/系统架构.txt,叶子节点,,,,,,,
43,SGSN/MME网元的采集方式有哪几种？,umac/参考/性能计数器参考（SGSN&MME）/计数器简介.txt,非叶子节点,,,,,,,
44,在某些情况下，维护人员希望了解本网元相关的无线网元的相关信息，应如何查询？,umac/参考/命令参考/MMESGSN/大数据查询/无线信息查询.txt,非叶子节点,,,,,,,
45,,,,,,,,,,
46,EMSPlus支持MAN节点扩容吗？,,,,,,,,,
47,ZXUN uMAC管理平面采用了哪些安全措施。,umac/网元介绍/安全描述/管理平面.txt,叶子节点,,,,,,,
48,ZXUN uMAC针对密码安全保护，采用哪些安全措施。,umac/网元介绍/安全描述/管理平面.txt,叶子节点,,,,,,,
49,如何查询指定用户详单？,emsplus/特性指导/5GC日志查询功能/特性操作/专家模式/查询通用日志.txt,非叶子节点,,,,,,,
50,业务告警分哪几种？,umac/参考/业务告警处理.txt,非叶子节点,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
